GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC01_EST_VC40,HC01_MOE_VC40,HC02_EST_VC40,HC02_MOE_VC40,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41
1400000US39035184104,39035184104,"Census Tract 1841.04, Cuyahoga County, Ohio",667,46,78942,9999,77.2,8.4,82019,13831,13.8,7.3,38929,87040,0.0,4.4,-,**,5.2,5.3,47083,390844,0.0,4.4,-,**,2.5,3.9,-,**,1.2,1.7,-,**,3.7,4.2,-,**,76.0,8.3,82841,15486,0.0,4.4,-,**,28.2,6.2,116094,25892,41.1,6.9,90643,12491,30.7,5.9,31736,21298,483,49,91473,13677,41.0,9.9,73750,29152,59.0,9.9,92574,7399,88.6,8.6,94412,9733,8.3,7.2,41071,7894,3.1,4.4,-,**,184,50,45417,21970,53.8,20.2,38250,54434,53.8,20.2,38250,54434,0.0,15.0,-,**,46.2,20.2,45781,17106,46.2,20.2,45781,17106,0.0,15.0,-,**,33.4,(X),(X),(X),35.4,(X),(X),(X),28.3,(X),(X),(X)
1400000US39035184105,39035184105,"Census Tract 1841.05, Cuyahoga County, Ohio",1678,75,84773,9946,76.8,5.3,88750,11296,13.1,5.2,70387,27165,0.7,1.0,-,**,7.8,1.9,147625,45491,0.0,1.8,-,**,0.0,1.8,-,**,1.7,1.6,49318,28352,0.4,0.6,-,**,76.4,5.3,88333,11374,0.7,1.0,-,**,26.9,4.9,94141,17857,49.7,4.9,106959,17009,22.8,5.4,29750,35145,1361,99,102663,11609,48.9,5.4,108036,21804,51.1,5.4,100000,26647,80.2,6.8,109886,17695,16.2,6.3,62950,43713,3.6,2.7,51250,55502,317,101,27917,11211,64.0,17.1,29226,12387,59.9,17.1,30000,15456,4.1,6.1,-,**,36.0,17.1,23942,25188,36.0,17.1,23942,25188,0.0,9.0,-,**,20.9,(X),(X),(X),19.3,(X),(X),(X),27.4,(X),(X),(X)
1400000US39035184106,39035184106,"Census Tract 1841.06, Cuyahoga County, Ohio",872,53,55455,5776,80.7,7.0,54483,6536,13.3,6.1,51875,17545,2.5,3.0,-,**,3.4,2.4,56750,19514,0.0,3.4,-,**,0.0,3.4,-,**,0.0,3.4,-,**,4.5,3.9,45179,12392,76.3,7.9,56467,7235,2.4,3.3,-,**,28.2,3.7,68523,18937,41.5,5.4,59519,16900,27.9,3.4,31420,10367,690,58,58424,9833,53.8,6.9,52370,17995,46.2,6.9,59965,16248,66.5,8.1,76932,24477,20.1,6.8,52950,21332,13.3,7.2,38571,20512,182,63,26042,5156,46.2,14.2,22083,9157,46.2,14.2,22083,9157,0.0,15.2,-,**,53.8,14.2,26806,19434,50.5,14.9,26389,14962,3.3,4.9,-,**,33.6,(X),(X),(X),34.9,(X),(X),(X),28.6,(X),(X),(X)
1400000US39035184108,39035184108,"Census Tract 1841.08, Cuyahoga County, Ohio",2437,123,109509,23259,75.3,4.2,115104,22611,9.8,4.0,84151,46906,0.9,1.1,-,**,12.4,3.8,146369,57445,0.0,1.2,-,**,0.0,1.2,-,**,1.6,1.7,61083,53105,0.9,1.4,-,**,74.4,4.4,116198,22489,0.6,1.0,-,**,27.0,4.4,132798,58992,55.1,5.2,122596,50117,17.3,3.0,47857,25170,2015,120,134228,28626,56.2,5.0,146226,23416,43.8,5.0,119219,31599,94.8,2.9,141339,24981,3.0,2.4,19444,39089,2.2,2.0,83958,311197,422,123,52500,18053,51.4,16.5,56417,59515,37.9,13.8,26333,20351,13.5,11.9,186157,58128,48.6,16.5,50982,20486,45.7,16.2,47404,21349,2.8,4.7,-,**,22.4,(X),(X),(X),23.7,(X),(X),(X),16.4,(X),(X),(X)
1400000US39035185101,39035185101,"Census Tract 1851.01, Cuyahoga County, Ohio",987,106,53113,7796,21.4,7.0,46654,3601,74.2,6.6,53587,9444,0.9,1.4,-,**,3.5,3.2,66328,9636,0.0,3.0,-,**,0.0,3.0,-,**,0.0,3.0,-,**,0.0,3.0,-,**,21.4,7.0,46654,3601,0.8,1.4,-,**,30.7,8.6,64844,18286,44.5,9.3,56328,15721,24.0,6.0,40170,5743,743,119,56250,9999,49.5,10.3,59224,17424,50.5,10.3,51648,9204,49.0,10.5,78922,5680,34.9,10.9,45602,13749,16.2,8.9,32500,16096,244,90,36000,13057,70.9,20.1,32740,17457,68.9,19.9,30000,13468,2.0,3.5,-,**,29.1,20.1,41375,41503,26.6,19.5,40625,31623,2.5,3.6,-,**,39.1,(X),(X),(X),47.0,(X),(X),(X),15.2,(X),(X),(X)
1400000US39035185102,39035185102,"Census Tract 1851.02, Cuyahoga County, Ohio",1070,93,59222,9267,65.8,7.5,42679,14238,32.1,7.5,84301,15247,0.0,2.8,-,**,0.0,2.8,-,**,0.0,2.8,-,**,0.0,2.8,-,**,2.1,2.6,-,**,0.0,2.8,-,**,65.8,7.5,42679,14238,0.0,2.8,-,**,34.7,6.2,112844,65116,41.4,8.5,61736,16471,23.9,5.9,35349,8627,604,103,77500,14157,50.2,11.7,79716,20588,49.8,11.7,75380,21592,61.3,11.6,93929,32838,35.4,10.9,44167,19577,3.3,3.4,-,**,466,97,38684,7861,67.6,16.0,30893,16148,64.8,16.0,30119,16807,2.8,3.9,-,**,32.4,16.0,73885,35724,18.0,13.4,140069,203727,14.4,12.5,73818,15030,32.7,(X),(X),(X),39.2,(X),(X),(X),24.2,(X),(X),(X)
1400000US39035185103,39035185103,"Census Tract 1851.03, Cuyahoga County, Ohio",932,68,48409,5882,66.2,8.8,50250,4882,33.0,8.8,45114,15119,0.0,3.2,-,**,0.8,1.1,-,**,0.0,3.2,-,**,0.0,3.2,-,**,0.0,3.2,-,**,1.1,1.7,-,**,65.1,8.8,50607,5310,1.2,1.4,-,**,34.3,5.4,51579,6677,39.4,5.7,71635,15513,25.1,4.0,25185,9884,504,79,54531,15824,52.4,10.8,54300,14323,47.6,10.8,63333,34816,48.0,12.5,77155,80501,48.8,13.1,41354,13756,3.2,4.1,76667,78733,428,83,34063,12546,68.5,13.6,26435,15958,54.0,15.0,21914,6892,14.5,8.6,81538,2403,31.5,13.6,45060,11541,26.2,13.6,43281,22877,5.4,4.4,82159,135903,52.4,(X),(X),(X),64.9,(X),(X),(X),37.6,(X),(X),(X)
1400000US39035185104,39035185104,"Census Tract 1851.04, Cuyahoga County, Ohio",1545,80,66325,6977,75.0,5.0,65625,7734,23.8,4.8,68654,23803,0.0,1.9,-,**,0.6,1.1,-,**,0.0,1.9,-,**,0.0,1.9,-,**,0.6,1.0,-,**,2.5,2.9,-,**,72.5,5.5,66813,9920,0.0,1.9,-,**,25.6,4.4,76667,29118,49.6,5.1,76951,10850,24.8,3.3,47379,10178,1043,96,77372,9699,38.8,7.1,79875,24699,61.2,7.1,75625,15918,74.9,8.0,96645,20198,17.2,5.3,46750,21942,8.0,5.9,57279,61071,502,100,44833,12322,62.4,12.2,52546,15657,54.2,12.7,46324,16137,8.2,5.5,59861,139841,37.6,12.2,40917,10895,31.3,11.9,34844,12403,6.4,5.8,93333,194616,26.5,(X),(X),(X),21.5,(X),(X),(X),37.1,(X),(X),(X)
1400000US39035185201,39035185201,"Census Tract 1852.01, Cuyahoga County, Ohio",777,54,32475,8489,37.8,8.0,26818,4755,56.2,6.9,46528,11018,0.0,3.8,-,**,4.9,4.2,-,**,0.0,3.8,-,**,0.0,3.8,-,**,1.0,1.9,-,**,0.6,1.1,-,**,37.2,8.0,26534,4608,1.8,2.3,-,**,43.0,7.4,41667,23502,30.0,6.5,33750,11394,25.2,5.6,26750,10583,347,69,43417,12588,44.4,9.4,50000,16275,55.6,9.4,40156,14946,60.5,12.9,47727,17285,33.4,10.9,41250,20424,6.1,7.5,-,**,430,91,28385,3661,64.0,12.6,28932,2796,55.8,10.7,28889,5236,8.1,7.5,-,**,36.0,12.6,26188,17294,36.0,12.6,26188,17294,0.0,6.7,-,**,27.4,(X),(X),(X),34.3,(X),(X),(X),21.9,(X),(X),(X)
1400000US39035185202,39035185202,"Census Tract 1852.02, Cuyahoga County, Ohio",2048,116,69590,5118,54.1,6.3,72422,8207,43.2,5.9,68958,5784,0.0,1.5,-,**,1.7,1.8,-,**,0.0,1.5,-,**,0.0,1.5,-,**,1.1,1.6,-,**,1.4,2.2,-,**,52.7,6.2,72938,6954,0.0,1.5,-,**,43.3,6.5,66149,7671,39.6,5.3,82739,13695,17.1,3.9,31354,8953,1475,142,76451,10125,39.8,10.2,73149,9420,60.2,10.2,85305,16774,52.3,10.5,86671,6549,32.8,8.8,66471,14585,14.9,8.2,71007,73491,573,135,45539,11475,70.2,15.5,46823,14329,63.0,15.0,45755,15339,7.2,8.7,-,**,29.8,15.5,35956,24095,26.9,14.5,34583,17693,3.0,5.0,-,**,26.1,(X),(X),(X),30.4,(X),(X),(X),15.0,(X),(X),(X)
